numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20141204210000;101600;60;2;90;1.300000;275.050000;274.050000;93;1750;10;mq;mq;mq;mq;mq;mq;mq;mq;100700;mq;mq;-360;mq;mq;mq;mq;273.950000;mq;mq;1.900000;2.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20141204210000;101620;40;2;60;1.500000;274.750000;273.550000;92;3000;10;2;2;100;8;mq;35;mq;mq;101030;mq;mq;-400;mq;mq;mq;mq;mq;mq;mq;1.800000;1.800000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;8;6;340;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20141204210000;101540;70;2;180;2.500000;277.750000;275.750000;87;12000;2;2;mq;100;8;mq;35;mq;mq;101270;mq;mq;-370;mq;mq;mq;mq;mq;mq;mq;3.500000;3.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;8;6;800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20141204210000;101530;70;3;150;1.500000;276.450000;275.550000;94;6000;0;mq;mq;100;mq;800;mq;mq;mq;100700;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;2.600000;-10;mq;mq;mq;mq;mq;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20141204210000;101550;70;2;100;1.600000;275.850000;275.250000;96;1610;10;mq;mq;100;8;mq;mq;mq;mq;99670;mq;mq;-300;mq;mq;mq;mq;276.050000;mq;mq;2.300000;2.500000;-10;mq;mq;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;0.200000;mq;mq;mq;mq;8;mq;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20141204210000;101610;60;1;110;1.700000;276.650000;275.650000;93;5930;mq;mq;mq;mq;mq;mq;mq;mq;mq;100430;mq;mq;-180;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20141204210000;101470;80;1;330;2.900000;280.150000;276.950000;80;10000;60;6;2;100;8;mq;35;mq;mq;100310;mq;mq;-370;mq;mq;mq;mq;279.150000;mq;mq;4.500000;5.200000;-10;1;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;2.000000;mq;mq;mq;mq;3;6;530;7;6;900;mq;mq;mq;mq;mq;mq;
07117;20141204210000;101430;120;1;150;2.000000;279.250000;277.250000;87;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100720;mq;mq;-370;mq;mq;mq;mq;mq;mq;mq;3.400000;4.200000;-10;mq;mq;mq;mq;0.200000;0.200000;0.200000;2.400000;5.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20141204210000;101490;90;3;170;1.700000;277.350000;276.050000;91;4650;51;mq;mq;100;8;mq;mq;mq;mq;100960;mq;mq;-230;mq;mq;mq;mq;278.850000;mq;mq;2.200000;2.600000;-10;mq;mq;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;2;mq;540;8;mq;780;mq;mq;mq;mq;mq;mq;
07139;20141204210000;101510;60;1;0;0.000000;276.150000;275.250000;94;5000;0;mq;mq;100;mq;150;mq;mq;mq;99730;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1.000000;-10;mq;0.000000;mq;mq;mq;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
